$招商银行(SH600036)$，又拉起来
氟化锂等多项锂铯铷盐己达产也是供不应求…600036…中矿资源（002738）是
明天招商银行再探底一次，基本就见到底部了！
$招商银行(SH600036)$明天清仓
$招商银行(SH600036)$招商银行将跌破20元！
$招商银行(SH600036)$有可能到20元吗
$招商银行(SH600036)$市净率跌到0.8的时候就可以买了，现在市净率还是
不知道为什么跌的，去看一眼人民币就知道了
招行大跌6.4%，港资净买进200万股，继续栽赃陷害北向打压。哈哈，被人捡便宜筹
$招商银行(SH600036)$今天补仓了20手，确实没钱了，没有办法了。
内资先杀一刀，让北向割不下去。
$招商银行(SH600036)$中概试下跌，08年20跌到1元，几乎没反弹。月线
$招商银行(SH600036)$熊市不要猜底，几毛都有可能，破产也不用新奇。
转发
北向资金进场了
去追热点都没有在这里死得那么惨
$招商银行(SH600036)$准备15元以下不计成本买进！
电子身份龙头两连板。业绩创历史纪录名单来了，多只行业巨头在列，北向资金提前扫货银行白马
深圳证券时报社有限公司
怎么突然就不值钱了呢？10几天前还是49元呀，怎么就不好了呢？
财报速递|招联消金去年净利润增涨83.63%，上市之路未有音讯，却因夸大宣传误导营销、催收行为不当遭处罚
江西日报社
邹剑锋喊话！！！
$招商银行(SH600036)$今天银行是内资砸的外资还流入
$招商银行(SH600036)$中概试下跌
招商银行，周线看图，用好布林线，每年逛两次招商银行，吃喝玩乐都有了周线破布林线下
这股走得像纳斯达克，一直涨，这次怕是到头了，就看看，不敢碰。
$招商银行(SH600036)$这是要往30跌？
割北向韭菜
$招商银行(SH600036)$八嘎，2个月前设置自动挂单今天买在最高位，都忘了
$招商银行(SH600036)$买入居前怎么跌了这么多？
港资是净买入的，内资才是做空主力！
港资是净买入的，内资才是砸货
$招商银行(SH600036)$决定拼一把，另外一套房子押了两百多万，再加上原来
招商银行，给国际影响没有一点关系。55元出货给你，你会觉得高，40元认为便宜？
$招商银行(SH600036)$股息好吃吗？小韭菜们，今天招商猪肉面大碗的有，顺
会跌倒25吗
$招商银行(SH600036)$不用怕，今天净买入
$招商银行(SH600036)$今天手贱抄底，梭哈了
尾盘又补仓，成本价39.75
内资做空自家股票赚钱。人家北向还是净买入。呵呵
招商银行03月08日被沪股通减持1116万股
拿着，就当存银行，有机会就T一下
沪深股通十大成交活跃股（03-15）
$隆基股份(SH601012)$$招商银行(SH600036)$坚决为国护盘，义
$招商银行(SH600036)$简直太便宜了，如果跌到30将毫不犹豫全仓买入
招商银行，首先可以看到2个好的现象。黄金有色资源下跌，原油石油大跌。
好股
招商银行都跌成这样子啊
感觉股价会被腰斩
我算是明白了，什么外资砸盘！这特么不都是内资在做空么！我们的机构在做空、、、
银行要凉凉
明天破三千点
$招商银行(SH600036)$一帮二比，还幻想底部，三一重工从50跌到35的时
明天必须给我跌停——
今天全部清仓远离中国股市！[呲牙][呲牙]
转发
$招商银行(SH600036)$以为银行股稳妥一点，结果始料不及，傻乎乎被市场毒
$招商银行(SH600036)$事到如今，已经没话可说了！就这些抱团股，我前年年
啊！快放我出去，我40.6的本，一路补下来，都10手了，三天亏了1500了
$招商银行(SH600036)$大家不要拿现在的股价和20年对标，20年已经是牛
转发
一口老血喷地上！
$招商银行(SH600036)$第二个跳空缺口了。还得有一个。
这种走势的确是不正常的，基本面没有什么突然的变化，只能说A股的走势被外资左右了，
$招商银行(SH600036)$50.2的高岗，见了鬼
这等到猴年马月能回本，大家都亏多少啦！
投资反思录：投资要认识人性，不能太超前！
财经自媒体
一天跌2块多，20天就完犊子了[滴汗][摊手][下跌][惨!关灯吃面][怒]
涨八年，跌3个月
明天把今天的筹码砸掉
八连阴。银毛！我看是吧[哭][哭][哭]
套了，明天再割掉
$招商银行(SH600036)$为什么会有50股50股的股票卖出？
招商银行并购贷款动作频频 210亿元并购额度授予碧桂园和美的置业
广州二十一世纪信息技术有限公司
[微笑]43.83全仓买的，周一挂成本价+手续费挂单43.87出掉，真的可以成交
大家要珍惜40块钱的招商[捂脸]
$招商银行(SH600036)$37的成本1万股已哭晕
36高地见了
明天点看啊？
招行、宁波银行，看看月线，基本上没什么跌，再跌个一半都是贵的！
53的本，还能回来吗？[哭]
强烈要求回购股份注销
没得救啦
我现在加仓不是为了赚钱，就是为了争口气[怒][怒][怒]
年金管理哪家强？2.6万亿企业年金业绩揭榜
基金研究达人
$招商银行(SH600036)$以为买银行股稳当点，结果亏20多个点[哭]
50成本、回本无望了[怒]
炒股不在赚赔主要是心脏受不了
$招商银行(SH600036)$卖点别的股支持我小招[主力][主力][主力]
$招商银行(SH600036)$跌倒二十六再说
价投零售的故事讲完了，新的故事正在酝酿，顶住呀，家人们，再砍10块就差不多了。
$招商银行(SH600036)$亏六千割了从五十一路补到现在顶不住了
$招商银行(SH600036)$整数关只是心里关，不是支撑位。
以守待攻，精选5支超强防御股
美女四千七！顾家的又有几个？能风雨同舟的更是凤毛麟角。股票市场如拼多多购物接着砍
$招商银行(SH600036)$47.8的本要几年？还有基金负25个点还能活了吗
招商资金净流入了，反转开始咯
$招商银行(SH600036)$47的成本已哭晕
$招商银行(SH600036)$梭哈了
任人宰割，毫无反弹，更不做声，短短两周时间亏损20个点，这是银行股吗？以后坚决不
44.5的本好有希望翻身么
我分散投资都亏了百分之二十，还让不让人活了
$招商银行(SH600036)$直接跌停算了
$招商银行(SH600036)$都给你们说了暴跌暴跌，说了几天了，为啥没人信。暴
宁波银行有潜力吗？
招商银行，小明不玩了，庄家练九阴真经，已经法力无边。小明的大公猫都打不过它们了。
重仓了别再跌了[滴汗]
收盘看到3开头，赌一块钱！
清仓
估计到20了
$招商银行(SH600036)$清仓
43的本，我还以为不会被套，看来还是太年轻了！
这种畸形抱团走到现在这个结局，也是部分公募过度抱团，甚至想着南下拿定价权，搞得整
39的招行要珍惜卖出机会，不然立即到30了！
大盘还能下3100吗？
明天买一点抢一波反弹。
赚钱能力也没工商强啊，为啥估值这么高
幸亏前几天我47没买到，太惨了[笑哭][笑哭]
$招商银行(SH600036)$退市吧
明天的收盘价已出——35.5——
（中药材）—（防感汤）！（治疗）和（预防）(新冠）！（其中）（国家）(推荐）的（
一季度还业绩好？业绩好会屁都不放一个，看看别人大跌了赶紧预告1和2月的业绩，稳定
$招商银行(SH600036)$昨天低点进来没想到今天都能亏到七八个点，今天再加
再跌百分之五十就差不多了
追热点还有点希望解套
$招商银行(SH600036)$和港股走的很同步嘛，看来银行还是受宏观面影响较多
没有底线了，30左右在进了[哭]，亏了差不多20
招商银行股价创逾16个月新低
今天应该是技术调整
可以抄底了吗？
$招商银行(SH600036)$浓眉大眼的招行，最近也………入坑了！
大跌原因
$招商银行(SH600036)$看着账户里的资金，我意识到大部分的财富已经自由了
$招商银行(SH600036)$26元见
$招商银行(SH600036)$失望把你丢了吧！
猫咪，招商银行破一下40元，也不会V型爆力反抽的，好吧
万亿市值公司又少一家？最惨银行股年内跌近20%，市值已不敌农行
AI财经社
$招商银行(SH600036)$买个银行股也能亏这么多[捂脸]
$招商银行(SH600036)$49的本呀
$招商银行(SH600036)$进入3字头了
明天还敢这样跌我一定加仓
又27000没了[大哭][大哭][大哭]
招商银行，绿青蛙太绿了，庄家没有实力把绿青蛙烤成红青蛙的。观看跳水
转发
$招商银行(SH600036)$[发呆][发呆]
$招商银行(SH600036)$投降了，服了，怕了，但愿我割完他拉升
$招商银行(SH600036)$还有救吗？
$招商银行(SH600036)$外资疯狂流出太难了
$招商银行(SH600036)$牛逼了
$招商银行(SH600036)$不服不行啊
$招商银行(SH600036)$终于收市止跌了！
$招商银行(SH600036)$[下跌]
世界怎么了？感觉一点希望都没有
这波买完就～一年不行就两年～
到34再出手
$招商银行(SH600036)$连跌8天，没有一丝让你跑的机会！[哭][哭]
不要想着抄底，这走势明天大概率要低开，搞不好就一锅闷了！
$招商银行(SH600036)$砸盘先锋队
$招商银行(SH600036)$买到你，天天狂拉虚。。。
$招商银行(SH600036)$
$招商银行(SH600036)$黑色星期一，深黑色星期二！
$招商银行(SH600036)$再进坚持一下，到15点就不跌了[微笑]
$招商银行(SH600036)$宇宙第一乘倒数第一，啦上证50指数穿星弟，唉
转发
明天大涨
一个招行，一个平安，两个做空A股的阵眼
$招商银行(SH600036)$QJ队在做空
跌吧，我去喝点小酒去
$招商银行(SH600036)$以为此生看不见30多的招行了
别撑了，让暴风来的更猛烈一些吧！
平安银行2022年度报告正式出炉，合理价位19元！
我只想解套，不再想在股市里挣钱了，原谅我的无知。
$招商银行(SH600036)$补偿
$招商银行(SH600036)$补早了
$招商银行(SH600036)$反弹
我去，早上41想割肉的，又妇人之仁了，后悔
$招商银行(SH600036)$朋友们，我悟了，跌到什么程度是看韭菜们什么时候割
这特么都跌的踩踏了啊。。。。
有本事你给我来个跌停
市值破万亿了[大笑]
$招商银行(SH600036)$你干脆跌停吧
这货我一买就跌，昨天买在高点，今天补仓还是高点
招行这种下跌，简直就是踩踏。。。[捂脸]，底还远，20元附近
融资开始爆了
没子弹了
$招商银行(SH600036)$谁能想到招商3开头了
$招商银行(SH600036)$难以置信，你也跌成这样
$招商银行(SH600036)$大部分还没回到高点的起点……
跌到三块拿盆接
$招商银行(SH600036)$割肉了跑晚了
$招商银行(SH600036)$只要是有港股上市的，都被带下来了。机构票最近都调
快分红了吧
$招商银行(SH600036)$2点半，准时跳
$招商银行(SH600036)$停牌了
招商银行破净资产的概率有多大？？？？
$招商银行(SH600036)$吧
没有最低，只有更低，毫无底线，进去就被埋
市值马上跌破万亿
$招商银行(SH600036)$做空只需要卖出招商银行就可以，走势非常诡异，强烈
破40了，还好跑得早
$招商银行(SH600036)$今天把子弹打完，以后。不过我的哔哩哔哩808
$招商银行(SH600036)$40也破了，离死也不远了。。
这是招商保卫战开始了吗？
比赛也不用这样砸墙
$招商银行(SH600036)$先出再说
护盘看你的了
$招商银行(SH600036)$距离新低早着呢
